;;;;;
;Copalis Beach Road - No 92200;;;;
Date;M.P.;;Adt.;Truck;Speed 85th%
Aug. 2023;0.01;at beginning of road;1261;16%;31 mph
Aug. 2023;4.522;near Ocean Beach Rd;982;16%;37 mph
;;;;;
;Ocean Beach Road - No 94230;;;;
Date;M.P.;;Adt.;Truck;Speed 85th%
Aug 2020;6.606;at Tulips Overflow Bridge;2633;13%;50 mph
Aug 2020;6.845;between the two bridges;2622;21%;56 mph
Aug 2020;7.341;between the two bridges;2619;31%;68 mph
Aug 2020;8.953;at Humptulips River Bridge;2649;7%;48 mph
Aug 2020;9.399;at Humptulips River Bridge 7;2531;5%;37 mph
Aug 2020;14.12;at Copalis River Bridge;1726;4%;50 mph
Aug 2020;19.616;at Joe Creek Bridge;1826;9%;57 mph
Aug 2022;18.24;reduced speed sign, speed study;2104;43%;78 mph
Aug 2022;18.585;past Aloha Tav, speed study;2241;27%;64 mph
Aug 2022;19.72;at end of brg, speed study;2298;33%;69 mph
Aug. 2023;0.02;at beginning of road;3279;15%;35 mph
Aug. 2023;5.1;between curves, Speed Study;3120;12%;52 mph
Aug. 2023;6.606;at Humptulips Overflow Brg;3234;22%;56 mph
Aug. 2023;9.399;at Humptulips Overflow Brg (7);3153;18%;54 mph
Aug. 2023;10.456;past Copalis Beach Rd Cutoff;2446;17%;50 mph
Aug. 2023;18;Speed Study  ;2758;13%;60 mph
Aug. 2023;18.693;by storage units, speed study;3229;14%;58 mph
Aug. 2023;19.616;at Joe Creek Bridge;2438;17%;58 mph
